Zip Code,City (City Alias Name(s)),County
77002,"Houston - Inner Loop (HOUSTON,CLUTCH CITY,)",HARRIS
77003,"Houston - Inner Loop (HOUSTON,)",HARRIS
77004,"Houston - Inner Loop (HOUSTON,)",HARRIS
77005,"Houston - Inner Loop (HOUSTON,SOUTHSIDE PLACE,WEST UNIVERSITY PLACE,W UNIV PL,)",HARRIS
77006,"Houston - Inner Loop (HOUSTON,)",HARRIS
77007,"Houston - Inner Loop (HOUSTON,)",HARRIS
77008,"Houston - Inner Loop (HEIGHTS,HOUSTON,HOUSTON HEIGHTS,)",HARRIS
77009,"Houston - Inner Loop (HOUSTON,)",HARRIS
77010,"Houston - Inner Loop (HOUSTON,)",HARRIS
77011,"Houston - Inner Loop (HOUSTON,)",HARRIS
77012,"Houston - Inner Loop (HOUSTON,)",HARRIS
77013,"Houston - Northeast (HOUSTON,)",HARRIS
77014,"Houston - Northwest (HOUSTON,)",HARRIS
77015,"Houston - Northeast (CLOVERLEAF,GREENS BAYOU,HOUSTON,)",HARRIS
77016,"Houston - Northeast (HOUSTON,)",HARRIS
77017,"Houston - Southeast (HOUSTON,)",HARRIS
77018,"Houston - Northwest (HOUSTON,)",HARRIS
77019,"Houston - Inner Loop (HOUSTON,)",HARRIS
77020,"Houston - Inner Loop (HOUSTON,)",HARRIS
77021,"Houston - Inner Loop (HOUSTON,)",HARRIS
77022,"Houston - Northeast (HOUSTON,)",HARRIS
77023,"Houston - Inner Loop (HOUSTON,)",HARRIS
77024,"Houston - Southwest (BUNKER HILL VILLAGE,HEDWIG VILLAGE,HOUSTON,HUNTERS CREEK VILLAGE,MEMORIAL PARK,PINEY POINT,SPRING VALLEY,)",HARRIS
77025,"Houston - Inner Loop (ASTRODOME,ASTROWORLD,HOUSTON,)",HARRIS
77026,"Houston - Inner Loop (HOUSTON,)",HARRIS
77027,"Houston - Inner Loop (HOUSTON,)",HARRIS
77028,"Houston - Northeast (HOUSTON,SHELDON,)",HARRIS
77029,"Houston - Southeast (HOUSTON,)",HARRIS
77030,"Houston - Inner Loop (HOUSTON,V A HOSPITAL,)",HARRIS
77031,"Houston - Southwest (HOUSTON,)",HARRIS
77032,"Houston - Northeast (HOUSTON,)",HARRIS
77033,"Houston - Southeast (HOUSTON,)",HARRIS
77034,"Houston - Southeast (HOUSTON,)",HARRIS
77035,"Houston - Southwest (HOUSTON,)",HARRIS
77036,"Houston - Southwest (HOUSTON,SHARPSTOWN,)",HARRIS
77037,"Houston - Northeast (HOUSTON,)",HARRIS
77038,"Houston - Northwest (HOUSTON,)",HARRIS
77039,"Houston - Northeast (ALDINE,HOUSTON,)",HARRIS
77040,"Houston - Northwest (BAMMEL,HOUSTON,JERSEY VILLAGE,KOHRVILLE,SATSUMA,JERSEY VLG,)",HARRIS
77041,"Houston - Northwest (HOUSTON,JERSEY VILLAGE,JERSEY VLG,)",HARRIS
77042,"Houston - Southwest (HOUSTON,)",HARRIS
77043,"Houston - Northwest (HOUSTON,)",HARRIS
77044,"Houston - Northeast (HOUSTON,)",HARRIS
77045,"Houston - Southwest (HOUSTON,TRAMMELLS,)",HARRIS
77046,"Houston - Inner Loop (GREENWAY PLAZA,HOUSTON,)",HARRIS
77047,"Houston - Southeast (HOUSTON,)",HARRIS
77048,"Houston - Southeast (HOUSTON,)",HARRIS
77049,"Houston - Northeast (HOUSTON,)",HARRIS
77050,"Houston - Northeast (HOUSTON,)",HARRIS
77051,"Houston - Southeast (HOUSTON,)",HARRIS
77053,"Houston - Southwest (HOUSTON,)",FORT BEND
77054,"Houston - Inner Loop (HOUSTON,)",HARRIS
77055,"Houston - Northwest (HILSHIRE VILLAGE,HOUSTON,)",HARRIS
77056,"Houston - Southwest (HOUSTON,)",HARRIS
77057,"Houston - Southwest (HOUSTON,)",HARRIS
77058,"Houston - Southeast (CLEAR LAKE CITY,HOUSTON,LYNDON B JOHNSON SPACE CEN,NASSAU BAY,)",HARRIS
77059,"Houston - Southeast (HOUSTON,)",HARRIS
77060,"Houston - Northeast (HOUSTON,)",HARRIS
77061,"Houston - Southeast (HOUSTON,)",HARRIS
77062,"Houston - Southeast (HOUSTON,)",HARRIS
77063,"Houston - Southwest (HOUSTON,)",HARRIS
77064,"Houston - Northwest (HOUSTON,)",HARRIS
77065,"Houston - Northwest (HOUSTON,JERSEY VILLAGE,JERSEY VLG,)",HARRIS
77066,"Houston - Northwest (HOUSTON,)",HARRIS
77067,"Houston - Northwest (HOUSTON,)",HARRIS
77068,"Houston - Northwest (HOUSTON,)",HARRIS
77069,"Houston - Northwest (HOUSTON,)",HARRIS
77070,"Houston - Northwest (HOUSTON,)",HARRIS
77071,"Houston - Southwest (HOUSTON,)",HARRIS
77072,"Houston - Southwest (HOUSTON,)",HARRIS
77073,"Houston - Northeast (HOUSTON,)",HARRIS
77074,"Houston - Southwest (HOUSTON,)",HARRIS
77075,"Houston - Southeast (HOUSTON,)",HARRIS
77076,"Houston - Northeast (HOUSTON,)",HARRIS
77077,"Houston - Southwest (HOUSTON,)",HARRIS
77078,"Houston - Northeast (HOUSTON,)",HARRIS
77079,"Houston - Southwest (ADDICKS,HOUSTON,)",HARRIS
77080,"Houston - Northwest (HOUSTON,)",HARRIS
77081,"Houston - Southwest (HOUSTON,)",HARRIS
77082,"Houston - Southwest (HOUSTON,)",HARRIS
77083,"Houston - Southwest (HOUSTON,)",HARRIS
77084,"Houston - Northwest (ADDICKS BARKER,HOUSTON,)",HARRIS
77085,"Houston - Southwest (HOUSTON,)",HARRIS
77086,"Houston - Northwest (HOUSTON,)",HARRIS
77087,"Houston - Southeast (HOUSTON,)",HARRIS
77088,"Houston - Northwest (HOUSTON,)",HARRIS
77089,"Houston - Southeast (HOUSTON,)",HARRIS
77090,"Houston - Northwest (HOUSTON,)",HARRIS
77091,"Houston - Northwest (HOUSTON,)",HARRIS
77092,"Houston - Northwest (HOUSTON,)",HARRIS
77093,"Houston - Northeast (HOUSTON,)",HARRIS
77094,"Houston - Southwest (HOUSTON,)",HARRIS
77095,"Houston - Northwest (HOUSTON,)",HARRIS
77096,"Houston - Southwest (HOUSTON,)",HARRIS
77098,"Houston - Inner Loop (HOUSTON,)",HARRIS
77099,"Houston - Southwest (HOUSTON,)",HARRIS
77237,HOUSTON,HARRIS
