"date","region","avg_value","zipcode","city"
"2014-02-28","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1727,75201,"Dallas"
"2014-05-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",2013,75201,"Dallas"
"2014-08-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1902,75201,"Dallas"
"2014-09-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1907,75201,"Dallas"
"2014-10-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1873,75201,"Dallas"
"2014-12-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1895,75201,"Dallas"
"2015-01-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1750,75201,"Dallas"
"2015-02-28","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1840,75201,"Dallas"
"2015-03-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1852,75201,"Dallas"
"2015-04-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1854,75201,"Dallas"
"2015-05-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1985,75201,"Dallas"
"2015-06-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",2003,75201,"Dallas"
"2015-07-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1979,75201,"Dallas"
"2015-08-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1942,75201,"Dallas"
"2015-09-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",2027,75201,"Dallas"
"2015-10-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1946,75201,"Dallas"
"2015-11-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1905,75201,"Dallas"
"2015-12-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1889,75201,"Dallas"
"2016-01-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1990,75201,"Dallas"
"2016-02-29","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1887,75201,"Dallas"
"2016-03-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1743,75201,"Dallas"
"2016-04-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1866,75201,"Dallas"
"2016-05-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1896,75201,"Dallas"
"2016-06-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1915,75201,"Dallas"
"2016-07-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",2161,75201,"Dallas"
"2016-09-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1924,75201,"Dallas"
"2016-10-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1873,75201,"Dallas"
"2016-11-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1922,75201,"Dallas"
"2016-12-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1937,75201,"Dallas"
"2017-01-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1861,75201,"Dallas"
"2017-02-28","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1931,75201,"Dallas"
"2017-03-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1898,75201,"Dallas"
"2017-04-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1881,75201,"Dallas"
"2017-05-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1868,75201,"Dallas"
"2017-06-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1873,75201,"Dallas"
"2017-07-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1879,75201,"Dallas"
"2017-08-31","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1896,75201,"Dallas"
"2017-09-30","75201; TX; Dallas-Fort Worth-Arlington; Dallas County; Dallas",1897,75201,"Dallas"
