"date","region","avg_value"
"2014-01-31","Austin, TX",1312
"2014-02-28","Austin, TX",1312
"2014-03-31","Austin, TX",1324
"2014-04-30","Austin, TX",1337
"2014-05-31","Austin, TX",1349
"2014-06-30","Austin, TX",1354
"2014-07-31","Austin, TX",1364
"2014-08-31","Austin, TX",1376
"2014-09-30","Austin, TX",1383
"2014-10-31","Austin, TX",1374
"2014-11-30","Austin, TX",1367
"2014-12-31","Austin, TX",1379
"2015-01-31","Austin, TX",1381
"2015-02-28","Austin, TX",1398
"2015-03-31","Austin, TX",1406
"2015-04-30","Austin, TX",1417
"2015-05-31","Austin, TX",1430
"2015-06-30","Austin, TX",1437
"2015-07-31","Austin, TX",1454
"2015-08-31","Austin, TX",1457
"2015-09-30","Austin, TX",1459
"2015-10-31","Austin, TX",1457
"2015-11-30","Austin, TX",1452
"2015-12-31","Austin, TX",1452
"2016-01-31","Austin, TX",1459
"2016-02-29","Austin, TX",1464
"2016-03-31","Austin, TX",1473
"2016-04-30","Austin, TX",1478
"2016-05-31","Austin, TX",1489
"2016-06-30","Austin, TX",1500
"2016-07-31","Austin, TX",1500
"2016-08-31","Austin, TX",1499
"2016-09-30","Austin, TX",1493
"2016-10-31","Austin, TX",1492
"2016-11-30","Austin, TX",1487
"2016-12-31","Austin, TX",1480
"2017-01-31","Austin, TX",1488
"2017-02-28","Austin, TX",1490
"2017-03-31","Austin, TX",1499
"2017-04-30","Austin, TX",1507
"2017-05-31","Austin, TX",1514
"2017-06-30","Austin, TX",1521
"2017-07-31","Austin, TX",1524
"2017-08-31","Austin, TX",1514
"2017-09-30","Austin, TX",1501
"2017-10-31","Austin, TX",1496
"2017-11-30","Austin, TX",1497
"2017-12-31","Austin, TX",1490
"2018-01-31","Austin, TX",1491
"2018-02-28","Austin, TX",1500
"2018-03-31","Austin, TX",1504
"2018-04-30","Austin, TX",1515
"2018-05-31","Austin, TX",1527
"2018-06-30","Austin, TX",1544
"2018-07-31","Austin, TX",1558
"2018-08-31","Austin, TX",1568
"2018-09-30","Austin, TX",1566
"2018-10-31","Austin, TX",1567
"2018-11-30","Austin, TX",1569
"2018-12-31","Austin, TX",1559
"2019-01-31","Austin, TX",1556
"2019-02-28","Austin, TX",1564
"2019-03-31","Austin, TX",1571
"2019-04-30","Austin, TX",1585
"2019-05-31","Austin, TX",1597
"2019-06-30","Austin, TX",1609
"2019-07-31","Austin, TX",1620
"2019-08-31","Austin, TX",1628
"2019-09-30","Austin, TX",1624
"2019-10-31","Austin, TX",1612
"2019-11-30","Austin, TX",1612
"2019-12-31","Austin, TX",1620
"2020-01-31","Austin, TX",1628
"2020-02-29","Austin, TX",1632
"2020-03-31","Austin, TX",1626
"2020-04-30","Austin, TX",1612
"2020-05-31","Austin, TX",1601
"2020-06-30","Austin, TX",1596
"2020-07-31","Austin, TX",1579
"2020-08-31","Austin, TX",1543
"2020-09-30","Austin, TX",1536
"2020-10-31","Austin, TX",1525
"2020-11-30","Austin, TX",1542
"2020-12-31","Austin, TX",1463
"2021-01-31","Austin, TX",1489
"2021-02-28","Austin, TX",1494
"2021-03-31","Austin, TX",1524
"2014-01-31","Dallas-Fort Worth, TX",1263
"2014-02-28","Dallas-Fort Worth, TX",1260
"2014-03-31","Dallas-Fort Worth, TX",1266
"2014-04-30","Dallas-Fort Worth, TX",1280
"2014-05-31","Dallas-Fort Worth, TX",1294
"2014-06-30","Dallas-Fort Worth, TX",1306
"2014-07-31","Dallas-Fort Worth, TX",1318
"2014-08-31","Dallas-Fort Worth, TX",1323
"2014-09-30","Dallas-Fort Worth, TX",1326
"2014-10-31","Dallas-Fort Worth, TX",1322
"2014-11-30","Dallas-Fort Worth, TX",1322
"2014-12-31","Dallas-Fort Worth, TX",1325
"2015-01-31","Dallas-Fort Worth, TX",1326
"2015-02-28","Dallas-Fort Worth, TX",1334
"2015-03-31","Dallas-Fort Worth, TX",1349
"2015-04-30","Dallas-Fort Worth, TX",1360
"2015-05-31","Dallas-Fort Worth, TX",1371
"2015-06-30","Dallas-Fort Worth, TX",1380
"2015-07-31","Dallas-Fort Worth, TX",1389
"2015-08-31","Dallas-Fort Worth, TX",1393
"2015-09-30","Dallas-Fort Worth, TX",1394
"2015-10-31","Dallas-Fort Worth, TX",1393
"2015-11-30","Dallas-Fort Worth, TX",1393
"2015-12-31","Dallas-Fort Worth, TX",1389
"2016-01-31","Dallas-Fort Worth, TX",1391
"2016-02-29","Dallas-Fort Worth, TX",1400
"2016-03-31","Dallas-Fort Worth, TX",1410
"2016-04-30","Dallas-Fort Worth, TX",1421
