"date","region","avg_value"
"1996-01-31","Austin, TX","167615"
"1996-02-29","Austin, TX","166765"
"1996-03-31","Austin, TX","165546"
"1996-04-30","Austin, TX","163808"
"1996-05-31","Austin, TX","163351"
"1996-06-30","Austin, TX","163712"
"1996-07-31","Austin, TX","165086"
"1996-08-31","Austin, TX","165749"
"1996-09-30","Austin, TX","166456"
"1996-10-31","Austin, TX","166276"
"1996-11-30","Austin, TX","166601"
"1996-12-31","Austin, TX","167198"
"1997-01-31","Austin, TX","168038"
"1997-02-28","Austin, TX","168824"
"1997-03-31","Austin, TX","169652"
"1997-04-30","Austin, TX","170673"
"1997-05-31","Austin, TX","170284"
"1997-06-30","Austin, TX","169667"
"1997-07-31","Austin, TX","167722"
"1997-08-31","Austin, TX","167056"
"1997-09-30","Austin, TX","166969"
"1997-10-31","Austin, TX","168094"
"1997-11-30","Austin, TX","168511"
"1997-12-31","Austin, TX","168621"
"1998-01-31","Austin, TX","168664"
"1998-02-28","Austin, TX","169286"
"1998-03-31","Austin, TX","171426"
"1998-04-30","Austin, TX","173178"
"1998-05-31","Austin, TX","174399"
"1998-06-30","Austin, TX","174135"
"1998-07-31","Austin, TX","174031"
"1998-08-31","Austin, TX","173664"
"1998-09-30","Austin, TX","172275"
"1998-10-31","Austin, TX","171463"
"1998-11-30","Austin, TX","171339"
"1998-12-31","Austin, TX","171308"
"1999-01-31","Austin, TX","170741"
"1999-02-28","Austin, TX","170140"
"1999-03-31","Austin, TX","169410"
"1999-04-30","Austin, TX","169143"
"1999-05-31","Austin, TX","169523"
"1999-06-30","Austin, TX","170790"
"1999-07-31","Austin, TX","172071"
"1999-08-31","Austin, TX","173524"
"1999-09-30","Austin, TX","175672"
"1999-10-31","Austin, TX","177318"
"1999-11-30","Austin, TX","178468"
"1999-12-31","Austin, TX","179897"
"2000-01-31","Austin, TX","181959"
"2000-02-29","Austin, TX","184093"
"2000-03-31","Austin, TX","185369"
"2000-04-30","Austin, TX","186099"
"2000-05-31","Austin, TX","186615"
"2000-06-30","Austin, TX","186894"
"2000-07-31","Austin, TX","187190"
"2000-08-31","Austin, TX","187857"
"2000-09-30","Austin, TX","188440"
"2000-10-31","Austin, TX","189398"
"2000-11-30","Austin, TX","189983"
"2000-12-31","Austin, TX","190568"
"2001-01-31","Austin, TX","190581"
"2001-02-28","Austin, TX","190596"
"2001-03-31","Austin, TX","190987"
"2001-04-30","Austin, TX","191772"
"2001-05-31","Austin, TX","192356"
"2001-06-30","Austin, TX","192845"
"2001-07-31","Austin, TX","193186"
"2001-08-31","Austin, TX","193307"
"2001-09-30","Austin, TX","193062"
"2001-10-31","Austin, TX","192789"
"2001-11-30","Austin, TX","192812"
"2001-12-31","Austin, TX","192782"
"2002-01-31","Austin, TX","192905"
"2002-02-28","Austin, TX","192464"
"2002-03-31","Austin, TX","192130"
"2002-04-30","Austin, TX","191658"
"2002-05-31","Austin, TX","191496"
"2002-06-30","Austin, TX","191394"
"2002-07-31","Austin, TX","191109"
"2002-08-31","Austin, TX","190873"
"2002-09-30","Austin, TX","190975"
"2002-10-31","Austin, TX","190972"
"2002-11-30","Austin, TX","191039"
"2002-12-31","Austin, TX","190747"
"2003-01-31","Austin, TX","190681"
"2003-02-28","Austin, TX","190767"
"2003-03-31","Austin, TX","190985"
"2003-04-30","Austin, TX","191109"
"2003-05-31","Austin, TX","191228"
"2003-06-30","Austin, TX","191314"
"2003-07-31","Austin, TX","191690"
"2003-08-31","Austin, TX","191820"
"2003-09-30","Austin, TX","191580"
"2003-10-31","Austin, TX","191364"
"2003-11-30","Austin, TX","191235"
"2003-12-31","Austin, TX","191524"
"2004-01-31","Austin, TX","191741"
"2004-02-29","Austin, TX","192607"
"2004-03-31","Austin, TX","193464"
"2004-04-30","Austin, TX","194262"
"2004-05-31","Austin, TX","194662"
"2004-06-30","Austin, TX","194870"
"2004-07-31","Austin, TX","195262"
