"date","region","avg_value"
"1996-01-31","Austin, TX",153184
"1996-02-29","Austin, TX",152411
"1996-03-31","Austin, TX",151035
"1996-04-30","Austin, TX",149075
"1996-05-31","Austin, TX",147382
"1996-06-30","Austin, TX",146903
"1996-07-31","Austin, TX",147845
"1996-08-31","Austin, TX",149579
"1996-09-30","Austin, TX",151248
"1996-10-31","Austin, TX",151617
"1996-11-30","Austin, TX",151346
"1996-12-31","Austin, TX",151568
"1997-01-31","Austin, TX",151954
"1997-02-28","Austin, TX",152811
"1997-03-31","Austin, TX",154162
"1997-04-30","Austin, TX",156057
"1997-05-31","Austin, TX",157765
"1997-06-30","Austin, TX",157905
"1997-07-31","Austin, TX",156352
"1997-08-31","Austin, TX",154028
"1997-09-30","Austin, TX",152302
"1997-10-31","Austin, TX",152612
"1997-11-30","Austin, TX",154609
"1997-12-31","Austin, TX",156686
"1998-01-31","Austin, TX",158664
"1998-02-28","Austin, TX",160023
"1998-03-31","Austin, TX",162542
"1998-04-30","Austin, TX",164616
"1998-05-31","Austin, TX",166532
"1998-06-30","Austin, TX",168369
"1998-07-31","Austin, TX",169741
"1998-08-31","Austin, TX",171173
"1998-09-30","Austin, TX",172545
"1998-10-31","Austin, TX",174372
"1998-11-30","Austin, TX",175586
"1998-12-31","Austin, TX",175533
"1999-01-31","Austin, TX",175429
"1999-02-28","Austin, TX",175346
"1999-03-31","Austin, TX",174215
"1999-04-30","Austin, TX",172281
"1999-05-31","Austin, TX",171525
"1999-06-30","Austin, TX",172099
"1999-07-31","Austin, TX",173973
"1999-08-31","Austin, TX",175561
"1999-09-30","Austin, TX",176454
"1999-10-31","Austin, TX",176604
"1999-11-30","Austin, TX",176122
"1999-12-31","Austin, TX",176649
"2000-01-31","Austin, TX",177543
"2000-02-29","Austin, TX",178956
"2000-03-31","Austin, TX",180709
"2000-04-30","Austin, TX",183261
"2000-05-31","Austin, TX",185095
"2000-06-30","Austin, TX",186267
"2000-07-31","Austin, TX",186124
"2000-08-31","Austin, TX",186710
"2000-09-30","Austin, TX",187434
"2000-10-31","Austin, TX",188575
"2000-11-30","Austin, TX",189356
"2000-12-31","Austin, TX",190077
"2001-01-31","Austin, TX",190476
"2001-02-28","Austin, TX",190894
"2001-03-31","Austin, TX",191754
"2001-04-30","Austin, TX",191770
"2001-05-31","Austin, TX",191472
"2001-06-30","Austin, TX",190298
"2001-07-31","Austin, TX",190158
"2001-08-31","Austin, TX",190086
"2001-09-30","Austin, TX",189974
