YEAR,ZIP CODE,NO. OF RETURNS,AGI
2007,73301,1798,7230
2007,73949,43,1915
2007,75001,7128,693056
2007,75002,26669,2002247
2007,75006,21953,1053748
2007,75007,25432,1623940
2007,75009,3356,251274
2007,75010,9157,617551
2007,75011,1048,56039
2007,75013,11612,1315097
2007,75014,297,26007
2007,75015,485,33830
2007,75016,694,27758
2007,75017,289,9466
2007,75019,18289,2199180
2007,75020,10756,401646
2007,75021,4375,160548
2007,75022,9025,1390015
2007,75023,22593,1499769
2007,75024,15154,1799757
2007,75025,22379,2110985
2007,75026,492,76190
2007,75027,317,32459
2007,75028,18831,1805392
2007,75029,672,33671
2007,75030,535,32097
2007,75032,11116,1086017
2007,75034,26462,3522288
2007,75035,18389,1560065
2007,75038,13182,983407
2007,75039,5183,422229
2007,75040,26656,1006032
2007,75041,12287,415767
2007,75042,16047,505941
2007,75043,26692,1172841
2007,75044,19590,1144577
2007,75045,404,18679
2007,75046,473,18329
2007,75047,198,11669
2007,75048,8774,566331
2007,75049,479,20636
2007,75050,16839,635368
2007,75051,14649,408520
2007,75052,37443,1749060
2007,75053,935,38188
2007,75054,3044,231557
2007,75056,20407,1390870
2007,75057,5415,201562
2007,75058,1237,76872
2007,75060,19791,678377
2007,75061,21237,724257
2007,75062,20710,1070784
2007,75063,16296,1345705
2007,75065,4966,275105
2007,75067,27745,1207744
2007,75068,13279,756360
2007,75069,14193,1019756
2007,75070,30410,2731888
2007,75071,13003,901757
2007,75074,18809,920433
2007,75075,16791,1093578
2007,75076,3733,220669
2007,75077,16754,1536740
2007,75078,3377,406032
2007,75080,20093,1350141
2007,75081,16525,889155
2007,75082,9482,1012530
2007,75083,1092,67671
2007,75085,338,17644
2007,75086,846,48340
2007,75087,12280,943439
2007,75088,11764,725083
2007,75089,12646,780999
2007,75090,9930,326197
2007,75091,1090,62212
2007,75092,10047,508655
2007,75093,22779,3974284
2007,75094,7735,772808
2007,75097,158,8650
2007,75098,19758,1109341
2007,75101,355,9416
2007,75102,638,22925
2007,75103,6089,247230
2007,75104,19637,1034197
2007,75105,158,5974
2007,75106,863,41743
2007,75109,1618,78030
2007,75110,12456,422110
2007,75114,2310,116742
2007,75115,22069,1038813
2007,75116,8457,325631
2007,75117,1894,69878
2007,75118,155,4782
2007,75119,11235,458060
2007,75120,699,28708
2007,75121,318,11186
2007,75123,858,41334
2007,75124,2069,70180
2007,75125,2929,97075
2007,75126,13259,804425
2007,75127,758,22215
2007,75132,458,21856
2007,75134,8390,262085
2007,75135,2587,120478
2007,75137,8948,429360
2007,75138,851,39900
2007,75140,3177,111666
2007,75141,1470,42537
2007,75142,8337,353005
2007,75143,6671,232610
2007,75144,1568,57848
2007,75146,8869,331595
2007,75147,3689,130158
2007,75148,2725,91220
2007,75149,24156,886057
2007,75150,26634,974354
2007,75151,827,62336
2007,75152,2107,96983
2007,75153,300,8157
2007,75154,15994,797982
2007,75155,966,31159
2007,75156,6411,224425
2007,75157,190,5547
2007,75158,1998,90119
2007,75159,7209,265320
2007,75160,11191,448652
2007,75161,2716,112410
2007,75163,1195,51282
2007,75164,320,11563
2007,75165,15888,749493
2007,75166,1213,76939
2007,75167,3180,183351
2007,75168,608,47943
2007,75169,6767,240268
2007,75172,1484,39014
2007,75173,1669,82736
2007,75180,9209,253636
2007,75181,10599,550296
2007,75182,2221,240921
2007,75185,801,32490
2007,75187,417,14702
2007,75189,8681,433518
2007,75201,4967,1998759
2007,75202,970,89942
2007,75203,6067,140208
2007,75204,12975,1200538
2007,75205,9962,4201964
2007,75206,17986,1268906
2007,75207,415,39680
2007,75208,13509,595511
2007,75209,7415,1474713
2007,75210,2834,41360
2007,75211,27974,737666
2007,75212,10153,212501
2007,75214,16319,1751939
2007,75215,7569,148572
2007,75216,23774,453562
2007,75217,31210,739747
2007,75218,11705,829346
2007,75219,12707,1979980
2007,75220,13719,1850867
2007,75221,158,93496
2007,75222,761,33040
2007,75223,5894,197640
2007,75224,13782,370674
2007,75225,11055,4455374
2007,75226,1497,71274
2007,75227,21530,598552
2007,75228,27627,892931
2007,75229,15283,2080783
2007,75230,13704,3070153
2007,75231,14231,877907
2007,75232,13978,416720
2007,75233,5837,180906
2007,75234,13892,742708
2007,75235,7294,244157
2007,75236,5931,180531
2007,75237,6937,159455
2007,75238,13172,888487
2007,75240,10028,818264
2007,75241,14154,311442
2007,75242,14,243
2007,75243,25465,1142297
2007,75244,6263,558089
2007,75246,1128,36029
2007,75247,564,26464
2007,75248,17831,2044351
2007,75249,5850,229855
2007,75250,75,2874
2007,75251,1529,168556
2007,75252,98117,1515339
2007,75253,5902,154585
2007,75254,10774,1039464
2007,75261,334,18229
2007,75265,17,126
2007,75266,254,51855
2007,75270,12,9659
2007,75275,123,3853
2007,75283,235,30085
2007,75287,25724,1727459
2007,75313,234,8288
2007,75315,515,7940
2007,75323,32,644
2007,75336,243,8143
2007,75339,394,7545
2007,75342,55,3998
2007,75354,439,31232
2007,75355,322,22050
2007,75356,167,24897
2007,75357,433,11795
2007,75359,69,3267
2007,75360,472,45614
2007,75367,283,51174
2007,75370,717,72146
2007,75371,97,3272
2007,75372,232,12251
2007,75374,622,26483
2007,75376,466,14073
2007,75378,16,630
2007,75379,716,84362
2007,75380,503,40756
2007,75381,298,15398
2007,75382,585,22149
2007,75390,13,318
2007,75401,7698,210825
2007,75402,7343,372650
2007,75403,621,24202
2007,75404,385,26323
2007,75407,5904,235380
2007,75409,4566,235100
2007,75410,1877,72095
2007,75411,533,13878
2007,75412,371,9357
2007,75413,159,4824
2007,75414,1421,59043
2007,75415,94,2030
2007,75416,1344,45815
2007,75417,1271,40430
2007,75418,5727,202927
2007,75420,510,16891
2007,75421,482,14644
2007,75422,1248,50978
2007,75423,1223,49108
2007,75424,1451,64804
2007,75425,63,1298
2007,75426,2910,72474
2007,75428,3560,116940
2007,75429,549,19567
2007,75431,963,26587
2007,75432,1563,48438
2007,75433,1260,44940
2007,75434,60,1346
2007,75435,517,15147
2007,75436,955,26923
2007,75437,515,19135
2007,75438,510,21368
2007,75439,442,15858
2007,75440,2889,115651
2007,75441,58,2179
2007,75442,3767,173986
2007,75443,56,1933
2007,75444,263,8891
2007,75446,1477,47465
2007,75447,509,18555
2007,75448,307,9802
2007,75449,511,14175
2007,75450,141,4092
2007,75451,669,23745
2007,75452,1896,78039
2007,75453,1512,53817
2007,75454,2322,152512
2007,75455,10717,409181
2007,75456,1085,59363
2007,75457,3055,119375
2007,75458,181,7969
2007,75459,1961,101491
2007,75460,11067,297333
2007,75461,850,37573
2007,75462,5019,265359
2007,75468,472,16463
2007,75469,216,6128
2007,75470,114,3238
2007,75471,578,19146
2007,75472,1611,52943
2007,75473,1721,75530
2007,75474,7138,236556
2007,75475,132,4161
2007,75476,606,20538
2007,75477,462,13352
2007,75478,417,13245
2007,75479,812,30333
2007,75480,706,32057
2007,75481,181,6166
2007,75482,10709,391881
2007,75483,667,38914
2007,75485,169,5502
2007,75486,1094,43777
2007,75487,672,22075
2007,75488,503,16217
2007,75489,627,26572
2007,75490,1069,46834
2007,75491,2194,90000
2007,75492,298,9292
2007,75493,326,8365
2007,75494,4963,192377
2007,75495,3250,189235
2007,75496,1432,48948
2007,75497,1547,76133
2007,75501,16156,494403
2007,75503,11273,761571
2007,75504,483,29678
2007,75505,1003,48290
2007,75550,419,11542
2007,75551,5382,202069
2007,75554,826,24951
2007,75555,664,22765
2007,75556,623,22458
2007,75558,721,27743
2007,75559,2890,98851
2007,75560,545,14821
2007,75561,2783,93693
2007,75562,62,1333
2007,75563,2119,75018
2007,75564,79,1904
2007,75565,287,8928
2007,75566,393,8435
2007,75567,1574,56856
2007,75568,1459,44761
2007,75569,1639,54188
2007,75570,4459,166675
2007,75571,1407,43050
2007,75572,1888,60274
2007,75573,491,18465
2007,75574,810,27789
2007,75601,6894,320490
2007,75602,9580,282104
2007,75603,2590,127072
2007,75604,13335,631785
2007,75605,12904,856443
2007,75606,1030,252758
2007,75607,1125,36229
2007,75608,893,76716
2007,75615,259,10232
2007,75630,1327,43030
2007,75631,1177,61295
2007,75633,6886,343553
2007,75636,248,5271
2007,75637,62,2757
2007,75638,2849,98752
2007,75639,1335,55253
2007,75640,2048,81400
2007,75641,162,2967
2007,75642,275,14972
2007,75643,882,36904
2007,75644,5676,197616
2007,75645,3950,158949
2007,75647,6089,247089
2007,75650,4002,196790
2007,75651,1025,37435
2007,75652,5700,252410
2007,75653,937,98035
2007,75654,4792,212727
2007,75656,2300,74403
2007,75657,4211,136068
2007,75658,144,4817
2007,75659,88,4474
2007,75660,284,16719
2007,75661,1310,41396
2007,75662,10475,449572
2007,75663,1293,87092
2007,75666,339,10567
2007,75667,527,17162
2007,75668,1070,32450
2007,75669,291,10781
2007,75670,7727,199161
2007,75671,1161,107501
2007,75672,7448,371173
2007,75680,67,2796
2007,75681,1224,41624
2007,75682,334,13252
2007,75683,1897,59912
2007,75684,2571,95191
2007,75685,181,8146
2007,75686,5828,219636
2007,75687,141,4826
2007,75688,270,10979
2007,75689,134,3800
2007,75691,1967,77731
2007,75692,2467,98840
2007,75693,3123,166200
2007,75694,190,7360
2007,75701,15003,764706
2007,75702,10860,273697
2007,75703,16875,1276650
2007,75704,3626,120585
2007,75705,1026,29428
2007,75706,3571,106410
2007,75707,6285,390687
2007,75708,2896,81066
2007,75709,2114,101085
2007,75710,434,42980
2007,75711,1107,180844
2007,75712,578,30358
2007,75713,910,58545
2007,75750,1749,89327
2007,75751,7840,319776
2007,75752,2801,138920
2007,75754,2623,99098
2007,75755,2411,87966
2007,75756,1702,67011
2007,75757,4583,303647
2007,75758,4634,187266
2007,75759,73,1227
2007,75760,1181,38228
2007,75762,5507,327208
2007,75763,2874,105327
2007,75764,153,4335
2007,75765,3434,147172
2007,75766,11982,413078
2007,75770,1148,45420
2007,75771,8614,423545
2007,75772,108,3252
2007,75773,5803,208589
2007,75778,1452,49165
2007,75779,242,8277
2007,75780,416,10876
2007,75782,167,7036
2007,75783,3507,128798
2007,75784,348,10421
2007,75785,4021,136949
2007,75788,66,1537
2007,75789,3393,149201
2007,75790,2118,87017
2007,75791,5929,319101
2007,75792,1634,51545
2007,75799,10,121
2007,75801,7539,272712
2007,75802,1037,72558
2007,75803,6478,244477
2007,75831,2293,104773
2007,75832,96,3410
2007,75833,1615,59482
2007,75835,5608,184267
2007,75838,318,22494
2007,75839,2366,80978
2007,75840,3465,173034
2007,75844,2535,95626
2007,75845,1339,39050
2007,75846,1219,52156
2007,75847,724,20248
2007,75848,87,2458
2007,75849,251,7166
2007,75850,301,10746
2007,75851,1125,37824
2007,75852,752,21899
2007,75853,459,16942
2007,75855,1231,41092
2007,75856,150,4675
2007,75858,124,3170
2007,75859,872,44496
2007,75860,2609,113737
2007,75861,881,31445
2007,75862,4679,141199
2007,75865,84,2227
2007,75880,29,23
2007,75884,38,261
2007,75886,27,198
2007,75901,12446,493405
2007,75902,951,39022
2007,75903,322,45837
2007,75904,14358,619920
2007,75915,1025,46592
2007,75925,1742,49932
2007,75926,559,15653
2007,75928,635,14264
2007,75929,746,24186
2007,75930,880,26904
2007,75931,1032,38636
2007,75932,715,24545
2007,75933,704,22437
2007,75934,106,2827
2007,75935,6154,223438
2007,75936,415,14700
2007,75937,553,16956
2007,75938,1141,37580
2007,75939,1942,56108
2007,75941,3611,130188
2007,75942,221,5108
2007,75943,598,23626
2007,75944,611,19715
2007,75946,1640,56087
2007,75948,2868,115407
2007,75949,3569,118345
2007,75951,7554,267127
2007,75954,1520,63191
2007,75956,3472,119732
2007,75958,113,4398
2007,75959,478,16594
2007,75960,432,13483
2007,75961,6155,204327
2007,75962,277,3766
2007,75963,1413,79539
2007,75964,7573,236253
2007,75965,6625,344186
2007,75966,2153,62689
2007,75968,876,30366
